bezirk_key,bezirk_name,prognose_key,prognose_name,bezirksregion_key,bezirksregion_name,kiez_key,kiez_name
05,Spandau,0502,SPA 2,050205,Heerstraße Nord,05020522,Pillnitzer Weg
05,Spandau,0502,SPA 2,050205,Heerstraße Nord,05020523,Maulbeerallee
05,Spandau,0502,SPA 2,050205,Heerstraße Nord,05020524,Weinmeisterhornweg
05,Spandau,0502,SPA 2,050206,Wilhelmstadt,05020625,Borkumer Straße
05,Spandau,0502,SPA 2,050206,Wilhelmstadt,05020626,Adamstraße
05,Spandau,0502,SPA 2,050206,Wilhelmstadt,05020627,Tiefwerder
05,Spandau,0502,SPA 2,050206,Wilhelmstadt,05020628,Graetschelsteig
05,Spandau,0502,SPA 2,050206,Wilhelmstadt,05020629,Börnicker Straße
05,Spandau,0503,SPA 3,050307,Haselhorst,05030730,Zitadellenweg
05,Spandau,0503,SPA 3,050307,Haselhorst,05030731,Gartenfelder Straße
05,Spandau,0503,SPA 3,050308,Siemensstadt,05030832,Rohrdamm
05,Spandau,0503,SPA 3,050308,Siemensstadt,05030833,Motardstraße
05,Spandau,0504,SPA 4,050409,Gatow/Kladow,05040934,Alt-Gatow
05,Spandau,0504,SPA 4,050409,Gatow/Kladow,05040935,Groß-Glienicker Weg
05,Spandau,0504,SPA 4,050409,Gatow/Kladow,05040936,Jägerallee
05,Spandau,0504,SPA 4,050409,Gatow/Kladow,05040937,Kladower Damm
05,Spandau,0504,SPA 4,050409,Gatow/Kladow,05040938,Kafkastraße
06,Steglitz-Zehlendorf,0601,Region A,060101,Schloßstraße,06010101,Fichtenberg
06,Steglitz-Zehlendorf,0601,Region A,060101,Schloßstraße,06010102,Schloßstraße
06,Steglitz-Zehlendorf,0601,Region A,060101,Schloßstraße,06010103,Markelstraße
06,Steglitz-Zehlendorf,0601,Region A,060102,Albrechtstraße,06010204,Munsterdamm
06,Steglitz-Zehlendorf,0601,Region A,060102,Albrechtstraße,06010205,Südende
06,Steglitz-Zehlendorf,0601,Region A,060102,Albrechtstraße,06010206,Stadtpark
06,Steglitz-Zehlendorf,0601,Region A,060102,Albrechtstraße,06010207,Mittelstraße
06,Steglitz-Zehlendorf,0601,Region A,060102,Albrechtstraße,06010208,Bergstraße
06,Steglitz-Zehlendorf,0601,Region A,060102,Albrechtstraße,06010209,Feuerbachstraße
06,Steglitz-Zehlendorf,0601,Region A,060102,Albrechtstraße,06010210,Bismarckstraße
06,Steglitz-Zehlendorf,0602,Region B,060203,Lankwitz,06020301,Alt-Lankwitz
06,Steglitz-Zehlendorf,0602,Region B,060203,Lankwitz,06020302,Komponistenviertel Lankwitz
06,Steglitz-Zehlendorf,0602,Region B,060203,Lankwitz,06020303,Lankwitz Kirche
